"filename", "language", "YAML", "JSON", "JavaScript", "JSON with Comments", "Properties", "Ignore", "Markdown", "TypeScript", "Docker", "comment", "blank", "total"
"/Users/aurelien/Documents/Developpement/arvala/src/user/user.module.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 2, 16
"/Users/aurelien/Documents/Developpement/arvala/src/user/user.schema.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 17, 74
"/Users/aurelien/Documents/Developpement/arvala/src/user/user.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 84, 0, 9, 18, 111
"/Users/aurelien/Documents/Developpement/arvala/src/utils/BaseDBObject.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 7, 28
"/Users/aurelien/Documents/Developpement/arvala/src/utils/GeoPoint.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 5, 28
"/Users/aurelien/Documents/Developpement/arvala/src/utils/commons.schema.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 131, 0, 0, 12, 143
"/Users/aurelien/Documents/Developpement/arvala/src/utils/page/page-meta.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 9, 37
"/Users/aurelien/Documents/Developpement/arvala/src/utils/page/page-options.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 6, 42
"/Users/aurelien/Documents/Developpement/arvala/src/utils/page/page.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 4, 18
"/Users/aurelien/Documents/Developpement/arvala/src/utils/types.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 503, 0, 0, 30, 533
"/Users/aurelien/Documents/Developpement/arvala/test/app.e2e-spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 5, 25
"/Users/aurelien/Documents/Developpement/arvala/test/jest-e2e.json", "JSON", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/aurelien/Documents/Developpement/arvala/tsconfig.build.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 0, 5
"/Users/aurelien/Documents/Developpement/arvala/tsconfig.json", "JSON with Comments", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 1, 23
"Total", "-", 15, 11328, 30, 30, 15, 4, 60, 3844, 7, 304, 712, 16349
